[32m [INFO] [07/08/2025 12:57] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /DownloadProject | FILE: /Users/niek/Documents/code/github/final-cms/server/edit/ftpServices.ts | FUNCTION: downloadProject | MESSAGE: Success to download: random-test.txt to projects/12/EmptyDir,Success to download: test.txt to projects/12/EmptyDir	Failed to upload: test to projects/12/EmptyDir [0m 
[32m [INFO] [07/08/2025 13:38] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 13:39] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 13:59] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:00] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:02] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:05] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:07] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:09] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:13] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:14] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
[32m [INFO] [07/08/2025 14:49] | USER: nogeens@goedtesten.com | IP: ::ffff:127.0.0.1 | ROUTE: /PublishProject | FILE: routes/editRoutes.ts | FUNCTION: PublishProject | MESSAGE: undefined [0m 
